time,Open,High,Low,Close,Volume,spread,RealVolume
2022-09-07,1703.475,1719.426,1691.358,1716.553,95617,200,0
2022-09-08,1716.548,1727.938,1703.814,1710.648,106167,200,0
2022-09-09,1710.618,1729.336,1709.683,1717.186,87213,200,0
2022-09-11,1718.402,1720.155,1716.742,1718.396,3416,200,0
2022-09-12,1718.365,1735.081,1711.946,1725.246,92423,200,0
2022-09-13,1725.236,1731.772,1696.943,1702.097,114566,200,0
2022-09-14,1702.141,1707.068,1693.596,1697.512,99551,200,0
2022-09-15,1697.494,1697.775,1660.181,1662.357,103847,200,0
2022-09-16,1662.336,1680.173,1654.095,1675.286,95572,200,0
2022-09-18,1674.412,1679.963,1673.966,1677.946,4036,200,0
2022-09-19,1677.914,1678.74,1659.457,1675.752,84643,200,0
2022-09-20,1675.744,1679.43,1659.739,1666.4,87174,200,0
2022-09-21,1666.392,1687.883,1653.572,1667.043,141319,200,0
2022-09-22,1667.04,1684.833,1655.368,1672.724,138880,200,0
2022-09-23,1672.737,1675.933,1639.714,1643.877,118483,200,0
2022-09-25,1643.172,1645.673,1640.355,1644.054,5574,200,0
2022-09-26,1644.085,1649.598,1621.048,1627.669,150748,200,0
2022-09-27,1627.637,1642.334,1626.649,1628.797,114225,200,0
2022-09-28,1628.795,1662.66,1614.427,1656.115,147564,200,0
2022-09-29,1656.147,1665.171,1641.435,1664.567,132544,200,0
2022-09-30,1664.576,1675.424,1659.198,1660.963,121494,200,0
2022-10-02,1664.009,1665.394,1663.255,1664.152,4625,200,0
2022-10-03,1664.122,1702.553,1659.578,1700.996,126167,200,0
2022-10-04,1701.0,1729.469,1695.125,1725.563,120508,200,0
2022-10-05,1725.562,1727.552,1700.445,1718.379,118170,200,0
2022-10-06,1718.416,1725.491,1706.888,1711.893,108877,200,0
2022-10-07,1711.869,1714.764,1690.453,1695.001,116036,200,0
2022-10-09,1696.236,1699.857,1695.794,1696.694,4572,200,0
2022-10-10,1696.695,1697.232,1665.618,1670.131,101535,200,0
2022-10-11,1670.1,1683.879,1660.867,1664.037,122710,200,0
2022-10-12,1664.015,1678.298,1661.379,1674.483,118115,200,0
2022-10-13,1674.46,1682.36,1642.337,1663.441,152371,200,0
2022-10-14,1663.418,1671.694,1640.123,1644.267,126301,200,0
2022-10-16,1646.163,1647.656,1644.094,1647.47,4635,200,0
2022-10-17,1647.455,1668.339,1646.361,1650.698,97274,200,0
2022-10-18,1650.73,1660.853,1645.81,1652.305,104392,200,0
2022-10-19,1652.304,1653.366,1626.464,1627.097,103947,200,0
2022-10-20,1627.064,1645.57,1622.403,1626.98,107837,200,0
2022-10-21,1626.979,1658.087,1616.886,1657.806,154332,200,0
2022-10-23,1659.975,1670.606,1656.61,1661.251,20028,200,0
2022-10-24,1661.219,1663.306,1643.853,1651.742,126304,200,0
2022-10-25,1651.773,1662.281,1638.121,1652.755,107096,200,0
2022-10-26,1652.765,1674.834,1649.733,1667.513,109591,200,0
2022-10-27,1667.524,1670.754,1654.798,1661.862,122399,200,0
2022-10-28,1661.861,1666.992,1637.811,1644.448,109924,200,0
2022-10-30,1643.727,1645.373,1643.003,1643.446,4695,200,0
2022-10-31,1643.413,1645.56,1631.677,1632.416,86332,200,0
2022-11-01,1632.419,1656.969,1630.689,1646.772,109580,200,0
2022-11-02,1646.804,1669.428,1631.8,1633.721,137221,200,0
2022-11-03,1633.718,1640.911,1616.624,1629.737,115067,200,0
2022-11-04,1629.771,1681.665,1629.315,1680.966,133186,200,0
2022-11-06,1675.168,1680.309,1672.277,1672.66,5337,200,0
2022-11-07,1672.698,1681.865,1666.852,1674.072,103124,200,0
2022-11-08,1674.084,1716.901,1664.487,1711.587,118516,200,0
2022-11-09,1711.583,1722.291,1702.124,1706.45,124413,200,0
2022-11-10,1706.469,1757.196,1703.98,1752.196,145273,200,0
2022-11-11,1752.192,1772.822,1747.23,1770.992,129572,200,0
2022-11-13,1763.488,1764.891,1761.422,1763.439,4142,200,0
2022-11-14,1763.447,1775.007,1753.101,1769.481,114629,200,0
2022-11-15,1769.516,1786.472,1767.047,1780.746,154447,200,0
2022-11-16,1780.774,1784.992,1770.272,1773.843,121911,200,0
2022-11-17,1773.862,1774.762,1754.443,1760.058,111267,200,0
2022-11-18,1760.026,1767.674,1747.487,1750.852,93341,200,0
2022-11-20,1751.196,1752.595,1750.869,1752.261,2432,200,0
2022-11-21,1752.256,1752.986,1732.473,1738.506,101151,200,0
2022-11-22,1738.513,1749.613,1737.008,1741.139,89700,200,0
2022-11-23,1741.14,1753.378,1726.349,1752.271,106078,200,0
2022-11-24,1752.302,1758.565,1752.297,1755.189,62910,200,0
2022-11-25,1755.375,1761.12,1745.947,1755.969,74198,200,0
2022-11-27,1753.479,1754.215,1749.919,1750.9,1548,200,0
2022-11-28,1750.883,1763.703,1739.601,1741.231,103631,200,0
2022-11-29,1741.252,1758.749,1740.23,1748.884,96405,200,0
2022-11-30,1748.92,1773.44,1744.645,1773.332,122026,200,0
2022-12-01,1773.354,1804.439,1771.933,1802.253,122289,200,0
2022-12-02,1802.284,1802.96,1778.425,1797.945,117886,200,0
2022-12-04,1795.131,1799.341,1794.397,1798.946,3012,200,0
2022-12-05,1798.977,1809.886,1765.756,1769.348,110100,200,0
2022-12-06,1769.314,1780.835,1767.201,1770.915,94661,200,0
2022-12-07,1770.918,1790.489,1768.683,1786.964,105169,200,0
2022-12-08,1786.974,1794.664,1781.372,1789.207,87458,200,0
2022-12-09,1789.21,1806.043,1788.466,1797.455,98091,200,0
2022-12-11,1795.942,1796.635,1794.757,1794.954,2137,200,0
2022-12-12,1794.938,1795.446,1777.541,1781.893,86583,200,0
2022-12-13,1781.894,1824.45,1780.983,1809.588,129862,200,0
2022-12-14,1809.586,1814.085,1795.718,1807.616,129124,200,0
2022-12-15,1807.617,1807.818,1773.434,1776.49,120652,200,0
2022-12-16,1776.456,1794.228,1774.271,1793.062,95312,200,0
2022-12-18,1792.453,1793.006,1790.95,1791.017,2246,200,0
2022-12-19,1790.997,1798.712,1783.783,1787.255,82183,200,0
2022-12-20,1787.224,1821.02,1784.563,1817.199,125521,200,0
2022-12-21,1817.168,1823.76,1811.854,1814.892,90916,200,0
2022-12-22,1814.856,1820.365,1784.764,1793.44,99404,200,0
2022-12-23,1793.461,1803.194,1791.14,1798.469,85412,200,0
2022-12-26,1799.575,1803.087,1799.248,1800.842,1600,1955,0
2022-12-27,1800.845,1832.979,1800.238,1812.353,91862,200,0
2022-12-28,1812.377,1814.566,1796.946,1805.765,88176,200,0
2022-12-29,1805.728,1820.145,1804.34,1815.096,81997,200,0
2022-12-30,1815.108,1825.985,1813.189,1823.51,88313,200,0
2023-01-02,1825.968,1830.46,1823.998,1829.131,2383,834,0
2023-01-03,1829.11,1849.934,1826.747,1836.522,123212,200,0
2023-01-04,1836.501,1865.086,1836.185,1854.827,124302,200,0
2023-01-05,1854.794,1858.971,1824.835,1832.799,116567,200,0
2023-01-06,1832.8,1869.783,1831.265,1865.989,119649,200,0
2023-01-08,1866.736,1869.889,1866.716,1869.602,3665,200,0
2023-01-09,1869.595,1881.456,1867.099,1870.49,108241,200,0
2023-01-10,1870.477,1880.719,1867.789,1877.167,103582,200,0
2023-01-11,1877.196,1886.576,1866.893,1876.939,100795,200,0
2023-01-12,1876.935,1901.404,1873.231,1898.022,133215,200,0
2023-01-13,1898.023,1921.854,1892.282,1920.251,111528,200,0
2023-01-15,1919.066,1920.45,1916.844,1916.893,2928,200,0
2023-01-16,1916.904,1928.951,1910.813,1917.856,69343,200,0
2023-01-17,1917.882,1918.996,1903.633,1908.691,101915,200,0
2023-01-18,1908.674,1925.862,1896.559,1906.818,129115,200,0
2023-01-19,1906.848,1935.129,1900.95,1931.68,114677,200,0
2023-01-20,1931.683,1937.383,1920.58,1925.916,97925,200,0
2023-01-22,1924.243,1927.327,1924.189,1927.258,2521,200,0
2023-01-23,1927.232,1935.466,1911.296,1931.325,105359,200,0
2023-01-24,1931.313,1942.395,1916.962,1936.963,101114,200,0
2023-01-25,1936.953,1948.739,1919.727,1948.321,107054,200,0
2023-01-26,1948.346,1949.116,1918.36,1930.718,113341,200,0
2023-01-27,1930.679,1935.025,1916.455,1928.265,92726,200,0
2023-01-29,1926.737,1928.918,1926.408,1928.854,2431,200,0
2023-01-30,1928.859,1934.425,1920.627,1922.089,96194,200,0
2023-01-31,1922.121,1931.088,1900.736,1927.336,110285,200,0
2023-02-01,1927.329,1956.112,1920.494,1953.043,138608,200,0
2023-02-02,1953.008,1959.639,1911.211,1915.002,144422,200,0
2023-02-03,1914.998,1918.515,1861.424,1865.805,152575,0,0
2023-02-05,1864.169,1869.894,1863.718,1865.462,4303,200,0
2023-02-06,1865.429,1881.296,1862.982,1868.476,112453,200,0
2023-02-07,1868.507,1884.428,1864.972,1872.894,137566,200,0
2023-02-08,1872.893,1886.342,1868.977,1874.989,102312,200,0
2023-02-09,1874.983,1890.02,1858.842,1862.322,113689,200,0
2023-02-10,1862.353,1872.159,1852.744,1865.314,115662,200,0
2023-02-12,1863.97,1865.29,1862.633,1862.705,2215,200,0
2023-02-13,1862.739,1866.533,1850.417,1854.376,92835,200,0
2023-02-14,1854.38,1870.282,1843.14,1854.865,155839,200,0
2023-02-15,1854.862,1860.066,1830.262,1836.361,117900,200,0
2023-02-16,1836.353,1845.266,1827.404,1834.272,114968,200,0
2023-02-17,1834.288,1843.547,1818.861,1842.499,107708,200,0
2023-02-19,1841.163,1841.687,1838.386,1838.659,2114,200,0
2023-02-20,1838.666,1847.39,1837.282,1841.674,51829,200,0
2023-02-21,1841.705,1843.801,1830.204,1835.548,100264,200,0
2023-02-22,1835.552,1845.822,1823.473,1825.075,100896,200,0
2023-02-23,1825.086,1833.723,1817.188,1823.166,98791,200,0
2023-02-24,1823.187,1827.755,1808.912,1810.778,100827,200,0
2023-02-26,1811.891,1813.078,1811.239,1811.74,2182,200,0
2023-02-27,1811.728,1820.088,1806.177,1817.137,89116,200,0
2023-02-28,1817.138,1831.104,1804.363,1825.551,94256,200,0
2023-03-01,1825.552,1844.374,1823.042,1836.554,103939,200,0
2023-03-02,1836.53,1838.932,1829.947,1837.818,96436,200,0
2023-03-03,1837.787,1856.278,1837.756,1855.265,90672,200,0
2023-03-05,1853.694,1854.076,1852.152,1852.294,1832,200,0
2023-03-06,1852.302,1858.123,1845.066,1846.323,84771,200,0
2023-03-07,1846.303,1851.468,1812.67,1813.936,110318,200,0
2023-03-08,1813.935,1824.235,1809.372,1815.196,96063,200,0
2023-03-09,1815.209,1835.398,1811.922,1831.569,90828,200,0
