time,Open,High,Low,Close,Volume,spread,real_volume
2024-09-05 00:45:00,2495.302,2495.689,2494.463,2495.164,1057,160,0
2024-09-05 01:00:00,2495.16,2497.528,2494.533,2496.002,1690,159,0
2024-09-05 01:15:00,2496.006,2499.335,2495.683,2498.095,1830,159,0
2024-09-05 01:30:00,2498.043,2498.295,2495.793,2497.601,1753,160,0
2024-09-05 01:45:00,2497.615,2497.813,2495.79,2496.376,1496,160,0
2024-09-05 02:00:00,2496.404,2497.419,2496.219,2496.541,1281,160,0
2024-09-05 02:15:00,2496.512,2498.108,2496.191,2497.8,872,160,0
2024-09-05 02:30:00,2497.787,2498.633,2497.651,2498.197,1121,160,0
2024-09-05 02:45:00,2498.229,2498.975,2497.395,2498.094,999,159,0
2024-09-05 03:00:00,2498.037,2498.677,2496.531,2496.879,1244,160,0
2024-09-05 03:15:00,2496.867,2497.036,2496.058,2496.818,1069,160,0
2024-09-05 03:30:00,2496.774,2496.901,2495.685,2496.037,976,159,0
2024-09-05 03:45:00,2496.024,2496.469,2494.57,2494.868,937,159,0
2024-09-05 04:00:00,2494.835,2494.958,2494.05,2494.386,859,160,0
2024-09-05 04:15:00,2494.412,2494.846,2494.027,2494.462,775,160,0
2024-09-05 04:30:00,2494.441,2495.106,2494.234,2494.833,824,160,0
2024-09-05 04:45:00,2494.83,2494.957,2493.759,2494.212,804,159,0
2024-09-05 05:00:00,2494.174,2495.272,2493.914,2495.055,837,160,0
2024-09-05 05:15:00,2495.054,2495.638,2494.601,2495.419,815,160,0
2024-09-05 05:30:00,2495.429,2498.307,2494.436,2497.909,1497,160,0
2024-09-05 05:45:00,2497.886,2502.357,2497.699,2501.914,2134,159,0
2024-09-05 06:00:00,2501.878,2505.249,2500.747,2503.716,2095,160,0
2024-09-05 06:15:00,2503.724,2506.868,2502.581,2506.385,2502,159,0
2024-09-05 06:30:00,2506.416,2506.888,2502.316,2503.101,2043,159,0
2024-09-05 06:45:00,2503.144,2505.011,2502.728,2504.468,1591,159,0
2024-09-05 07:00:00,2504.42,2504.665,2502.932,2504.524,1583,160,0
2024-09-05 07:15:00,2504.568,2506.391,2504.568,2506.137,1565,159,0
2024-09-05 07:30:00,2506.191,2506.656,2505.188,2506.019,1519,159,0
2024-09-05 07:45:00,2506.034,2507.623,2504.042,2506.37,1536,159,0
2024-09-05 08:00:00,2506.408,2509.528,2505.907,2508.139,1957,159,0
2024-09-05 08:15:00,2508.085,2515.797,2508.085,2513.953,3328,159,0
2024-09-05 08:30:00,2513.97,2516.7,2512.977,2515.152,2314,159,0
2024-09-05 08:45:00,2515.128,2516.597,2513.766,2514.682,1935,159,0
2024-09-05 09:00:00,2514.717,2516.932,2514.717,2516.596,1929,160,0
2024-09-05 09:15:00,2516.622,2517.135,2515.152,2515.738,1683,159,0
2024-09-05 09:30:00,2515.731,2517.317,2515.038,2516.646,1724,159,0
