time,Open,High,Low,Close,Volume,spread,RealVolume
2022-09-06 01:00:00,1723.912,1723.912,1716.855,1718.299,4401,200,0
2022-09-06 02:00:00,1718.269,1720.081,1717.101,1719.739,2605,200,0
2022-09-06 03:00:00,1719.737,1720.241,1717.131,1717.745,2153,200,0
2022-09-06 04:00:00,1717.78,1718.744,1715.298,1715.567,2353,200,0
2022-09-06 05:00:00,1715.575,1719.066,1714.993,1717.79,2817,200,0
2022-09-06 06:00:00,1717.748,1720.74,1716.129,1720.146,3646,200,0
2022-09-06 07:00:00,1720.114,1720.114,1713.467,1715.743,5382,200,0
2022-09-06 08:00:00,1715.721,1716.021,1712.792,1713.438,3948,200,0
2022-09-06 09:00:00,1713.404,1713.404,1711.037,1711.332,3653,200,0
2022-09-06 10:00:00,1711.338,1713.102,1710.649,1712.702,3685,200,0
2022-09-06 11:00:00,1712.707,1714.638,1711.733,1714.551,4010,200,0
2022-09-06 12:00:00,1714.553,1714.97,1706.704,1707.739,6308,200,0
2022-09-06 13:00:00,1707.769,1711.756,1705.516,1708.83,8544,200,0
2022-09-06 14:00:00,1708.717,1709.48,1702.264,1703.623,10816,200,0
2022-09-06 15:00:00,1703.653,1707.273,1701.116,1703.015,6297,200,0
2022-09-06 16:00:00,1703.011,1704.338,1701.048,1701.372,4450,200,0
2022-09-06 17:00:00,1701.374,1703.753,1700.315,1700.958,3790,200,0
2022-09-06 18:00:00,1700.988,1702.022,1699.912,1699.918,3616,200,0
2022-09-06 19:00:00,1699.949,1702.339,1699.751,1700.08,3459,200,0
2022-09-06 20:00:00,1700.05,1701.765,1699.987,1701.696,1463,200,0
2022-09-06 22:00:00,1701.881,1702.374,1700.37,1700.494,1338,200,0
2022-09-06 23:00:00,1700.463,1703.837,1699.924,1703.478,2176,200,0
2022-09-07 00:00:00,1703.475,1703.801,1692.616,1696.162,4798,200,0
2022-09-07 01:00:00,1696.161,1698.71,1694.323,1696.975,4469,200,0
2022-09-07 02:00:00,1696.977,1697.639,1694.428,1695.103,3531,200,0
2022-09-07 03:00:00,1695.09,1695.752,1692.425,1693.397,3403,200,0
2022-09-07 04:00:00,1693.365,1694.664,1691.358,1693.659,3248,200,0
2022-09-07 05:00:00,1693.705,1696.281,1693.528,1696.168,3201,200,0
2022-09-07 06:00:00,1696.179,1699.624,1694.203,1699.048,3970,200,0
2022-09-07 07:00:00,1699.074,1703.66,1696.532,1703.182,5696,200,0
2022-09-07 08:00:00,1703.214,1705.375,1701.715,1704.031,4670,200,0
